2023-01-26 15:04:53 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2023-01-26 15:25:29 INFO  TimeLogger - Normalized time per run (n^2 log n):  .23
2023-01-26 15:25:42 INFO  TimeLogger - Raw time per run (mSec):  10.00
2023-01-26 15:25:42 INFO  TimeLogger - Normalized time per run (n^3):  .00
2023-01-26 15:25:42 INFO  TimeLogger - Raw time per run (mSec):  5.00
2023-01-26 15:25:42 INFO  TimeLogger - Normalized time per run (n^2):  .31
2023-01-26 15:25:44 INFO  TimeLogger - Raw time per run (mSec):  5.00
2023-01-26 15:25:44 INFO  TimeLogger - Normalized time per run (n^2 log n):  .03
2023-01-26 15:25:45 INFO  TimeLogger - Raw time per run (mSec):  3.00
2023-01-26 15:25:45 INFO  TimeLogger - Normalized time per run (n^2):  .05
2023-01-26 15:25:50 INFO  TimeLogger - Raw time per run (mSec):  3.00
2023-01-26 15:25:50 INFO  TimeLogger - Normalized time per run (n^2 log n):  .00
2023-01-26 15:25:54 INFO  TimeLogger - Raw time per run (mSec):  2.00
2023-01-26 15:25:54 INFO  TimeLogger - Normalized time per run (n^2):  .01
2023-01-26 15:26:07 INFO  TimeLogger - Raw time per run (mSec):  2.00
2023-01-26 15:26:07 INFO  TimeLogger - Normalized time per run (n^2 log n):  .00
2023-01-26 15:26:14 INFO  TimeLogger - Raw time per run (mSec):  38.35
2023-01-26 15:26:14 INFO  TimeLogger - Normalized time per run (n^2):  613.62
2023-01-26 15:26:14 INFO  TimeLogger - Raw time per run (mSec):  62.84
2023-01-26 15:26:14 INFO  TimeLogger - Normalized time per run (n^2 log n):  126.22
2023-01-26 15:26:15 INFO  TimeLogger - Raw time per run (mSec):  305.73
2023-01-26 15:26:15 INFO  TimeLogger - Normalized time per run (n^3):  19.57
2023-01-26 15:26:15 INFO  TimeLogger - Raw time per run (mSec):  41.84
2023-01-26 15:26:15 INFO  TimeLogger - Normalized time per run (n^2):  167.34
2023-01-26 15:26:15 INFO  TimeLogger - Raw time per run (mSec):  102.30
2023-01-26 15:26:15 INFO  TimeLogger - Normalized time per run (n^2 log n):  45.64
2023-01-26 15:26:16 INFO  TimeLogger - Raw time per run (mSec):  1065.28
2023-01-26 15:26:16 INFO  TimeLogger - Normalized time per run (n^3):  8.52
2023-01-26 15:26:16 INFO  TimeLogger - Raw time per run (mSec):  60.24
2023-01-26 15:26:16 INFO  TimeLogger - Normalized time per run (n^2):  60.24
2023-01-26 15:26:16 INFO  TimeLogger - Raw time per run (mSec):  217.89
2023-01-26 15:26:16 INFO  TimeLogger - Normalized time per run (n^2 log n):  21.86
2023-01-26 15:26:20 INFO  TimeLogger - Raw time per run (mSec):  3326.92
2023-01-26 15:26:20 INFO  TimeLogger - Normalized time per run (n^3):  3.33
2023-01-26 15:26:20 INFO  TimeLogger - Raw time per run (mSec):  144.39
2023-01-26 15:26:20 INFO  TimeLogger - Normalized time per run (n^2):  36.10
2023-01-26 15:26:21 INFO  TimeLogger - Raw time per run (mSec):  597.42
2023-01-26 15:26:21 INFO  TimeLogger - Normalized time per run (n^2 log n):  13.62
2023-01-26 15:26:34 INFO  TimeLogger - Raw time per run (mSec):  13128.58
2023-01-26 15:26:34 INFO  TimeLogger - Normalized time per run (n^3):  1.64
2023-01-26 15:26:34 INFO  TimeLogger - Raw time per run (mSec):  383.65
2023-01-26 15:26:34 INFO  TimeLogger - Normalized time per run (n^2):  23.98
2023-01-26 15:26:36 INFO  TimeLogger - Raw time per run (mSec):  1479.82
2023-01-26 15:26:36 INFO  TimeLogger - Normalized time per run (n^2 log n):  7.73
2023-01-26 15:26:37 INFO  TimeLogger - Raw time per run (mSec):  1311.97
2023-01-26 15:26:37 INFO  TimeLogger - Normalized time per run (n^2):  20.50
2023-01-26 15:26:42 INFO  TimeLogger - Raw time per run (mSec):  2.43
2023-01-26 15:26:42 INFO  TimeLogger - Normalized time per run (n^2):  38.81
2023-01-26 15:26:42 INFO  TimeLogger - Raw time per run (mSec):  2.56
2023-01-26 15:26:42 INFO  TimeLogger - Normalized time per run (n^2 log n):  5.14
2023-01-26 15:26:42 INFO  TimeLogger - Raw time per run (mSec):  9.15
2023-01-26 15:26:42 INFO  TimeLogger - Normalized time per run (n^3):  .59
2023-01-26 15:26:42 INFO  TimeLogger - Raw time per run (mSec):  .82
2023-01-26 15:26:42 INFO  TimeLogger - Normalized time per run (n^2):  3.30
2023-01-26 15:26:42 INFO  TimeLogger - Raw time per run (mSec):  3.20
2023-01-26 15:26:42 INFO  TimeLogger - Normalized time per run (n^2):  51.19
2023-01-26 15:26:42 INFO  TimeLogger - Raw time per run (mSec):  3.64
2023-01-26 15:26:42 INFO  TimeLogger - Raw time per run (mSec):  2.18
2023-01-26 15:26:42 INFO  TimeLogger - Normalized time per run (n^2 log n):  7.31
2023-01-26 15:26:42 INFO  TimeLogger - Normalized time per run (n^2 log n):  .97
2023-01-26 15:26:43 INFO  TimeLogger - Raw time per run (mSec):  10.50
2023-01-26 15:26:43 INFO  TimeLogger - Normalized time per run (n^3):  .67
2023-01-26 15:26:43 INFO  TimeLogger - Raw time per run (mSec):  .96
2023-01-26 15:26:43 INFO  TimeLogger - Normalized time per run (n^2):  3.83
2023-01-26 15:26:43 INFO  TimeLogger - Raw time per run (mSec):  2.27
2023-01-26 15:26:43 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.01
2023-01-26 15:26:44 INFO  TimeLogger - Raw time per run (mSec):  23.52
2023-01-26 15:26:44 INFO  TimeLogger - Normalized time per run (n^3):  .19
2023-01-26 15:26:44 INFO  TimeLogger - Raw time per run (mSec):  2.87
2023-01-26 15:26:44 INFO  TimeLogger - Normalized time per run (n^2):  2.87
2023-01-26 15:26:44 INFO  TimeLogger - Raw time per run (mSec):  11.01
2023-01-26 15:26:44 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.10
2023-01-26 15:26:44 INFO  TimeLogger - Raw time per run (mSec):  21.56
2023-01-26 15:26:44 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:26:44 INFO  TimeLogger - Raw time per run (mSec):  3.18
2023-01-26 15:26:44 INFO  TimeLogger - Normalized time per run (n^2):  3.18
2023-01-26 15:26:44 INFO  TimeLogger - Raw time per run (mSec):  10.81
2023-01-26 15:26:44 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.09
2023-01-26 15:26:47 INFO  TimeLogger - Raw time per run (mSec):  168.16
2023-01-26 15:26:47 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:26:48 INFO  TimeLogger - Raw time per run (mSec):  12.52
2023-01-26 15:26:48 INFO  TimeLogger - Normalized time per run (n^2):  3.13
2023-01-26 15:26:48 INFO  TimeLogger - Raw time per run (mSec):  168.40
2023-01-26 15:26:48 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:26:48 INFO  TimeLogger - Raw time per run (mSec):  13.01
2023-01-26 15:26:48 INFO  TimeLogger - Normalized time per run (n^2):  3.25
2023-01-26 15:26:48 INFO  TimeLogger - Raw time per run (mSec):  58.78
2023-01-26 15:26:48 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.34
2023-01-26 15:26:49 INFO  TimeLogger - Raw time per run (mSec):  58.36
2023-01-26 15:26:49 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.33
2023-01-26 15:27:02 INFO  TimeLogger - Raw time per run (mSec):  1336.86
2023-01-26 15:27:02 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:27:02 INFO  TimeLogger - Raw time per run (mSec):  90.09
2023-01-26 15:27:02 INFO  TimeLogger - Normalized time per run (n^2):  5.63
2023-01-26 15:27:02 INFO  TimeLogger - Raw time per run (mSec):  1340.08
2023-01-26 15:27:02 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:27:03 INFO  TimeLogger - Raw time per run (mSec):  78.62
2023-01-26 15:27:03 INFO  TimeLogger - Normalized time per run (n^2):  4.91
2023-01-26 15:27:04 INFO  TimeLogger - Raw time per run (mSec):  338.71
2023-01-26 15:27:04 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.77
2023-01-26 15:27:06 INFO  TimeLogger - Raw time per run (mSec):  .89
2023-01-26 15:27:06 INFO  TimeLogger - Normalized time per run (n^2):  14.25
2023-01-26 15:27:06 INFO  TimeLogger - Raw time per run (mSec):  1.67
2023-01-26 15:27:06 INFO  TimeLogger - Normalized time per run (n^2 log n):  3.35
2023-01-26 15:27:06 INFO  TimeLogger - Raw time per run (mSec):  7.18
2023-01-26 15:27:06 INFO  TimeLogger - Normalized time per run (n^3):  .46
2023-01-26 15:27:06 INFO  TimeLogger - Raw time per run (mSec):  1.14
2023-01-26 15:27:06 INFO  TimeLogger - Normalized time per run (n^2):  4.57
2023-01-26 15:27:06 INFO  TimeLogger - Raw time per run (mSec):  1.96
2023-01-26 15:27:06 INFO  TimeLogger - Normalized time per run (n^2 log n):  .88
2023-01-26 15:27:08 INFO  TimeLogger - Raw time per run (mSec):  21.60
2023-01-26 15:27:08 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:27:08 INFO  TimeLogger - Raw time per run (mSec):  3.38
2023-01-26 15:27:08 INFO  TimeLogger - Normalized time per run (n^2):  3.38
2023-01-26 15:27:08 INFO  TimeLogger - Raw time per run (mSec):  12.24
2023-01-26 15:27:08 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.23
2023-01-26 15:27:11 INFO  TimeLogger - Raw time per run (mSec):  166.47
2023-01-26 15:27:11 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:27:11 INFO  TimeLogger - Raw time per run (mSec):  13.42
2023-01-26 15:27:11 INFO  TimeLogger - Normalized time per run (n^2):  3.35
2023-01-26 15:27:12 INFO  TimeLogger - Raw time per run (mSec):  56.34
2023-01-26 15:27:12 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.28
2023-01-26 15:27:25 INFO  TimeLogger - Raw time per run (mSec):  100.00
2023-01-26 15:27:25 INFO  TimeLogger - Normalized time per run (n^2):  1600.00
2023-01-26 15:27:25 INFO  TimeLogger - Raw time per run (mSec):  100.00
2023-01-26 15:27:25 INFO  TimeLogger - Normalized time per run (n^2 log n):  200.86
2023-01-26 15:27:25 INFO  TimeLogger - Raw time per run (mSec):  100.00
2023-01-26 15:27:25 INFO  TimeLogger - Normalized time per run (n^3):  6.40
2023-01-26 15:27:25 INFO  TimeLogger - Raw time per run (mSec):  50.00
2023-01-26 15:27:25 INFO  TimeLogger - Normalized time per run (n^2):  200.00
2023-01-26 15:27:25 INFO  TimeLogger - Raw time per run (mSec):  50.00
